소재지전체주소,사업장명
서울특별시 종로구 종로3가 132-1번지 ,가르텐 비어
서울특별시 종로구 당주동 128-17번지 (지상1층) ,써브웨이 (광화문점)
서울특별시 종로구 낙원동 198 금강빌딩 ,청춘 1번지
서울특별시 종로구 명륜2가 184 ,깊·골(SHEN XIANG)
서울특별시 종로구 창신동 687-4번지 ,타임
서울특별시 종로구 동숭동 1-65번지 ,백팩
서울특별시 종로구 관철동 19-6번지 ,영구비어
서울특별시 종로구 관철동 13-9번지 ,종각 상구비어
서울특별시 종로구 인사동 208-0 ,비비큐 치킨(인사점)
서울특별시 종로구 관수동 120번지 ,호
서울특별시 종로구 동숭동 1-58번지 ,투뿔소
서울특별시 종로구 숭인동 201-4 ,둘둘치킨
서울특별시 종로구 무악동 67-2번지 ,골든벨호프
서울특별시 종로구 송월동 60-5번지 ,로얄
서울특별시 종로구 인사동 37번지 3층 ,힐링타임365
서울특별시 종로구 혜화동 143-2번지 ,대봉수 대학로족발·보쌈
서울특별시 종로구 익선동 106-0번지 ,포쉬(POSH)
서울특별시 종로구 평창동 325번지 ,와키
서울특별시 종로구 동숭동 1-35번지 지상4층 ,주주연가(대학로점)
서울특별시 종로구 명륜2가 21-18번지 지상1층 ,통큰갈비
서울특별시 종로구 돈의동 153번지 ,하늘정원
서울특별시 종로구 낙원동 227번지 ,그때그집
서울특별시 종로구 당주동 160-0 변호사회관 지하동 1-33호,유월
서울특별시 종로구 낙원동 159번지 지상1층 ,비앤비
서울특별시 종로구 교북동 75번지 ,청수
서울특별시 종로구 체부동 39-2번지 지상1층 ,미락치킨 경복궁 본점
서울특별시 종로구 당주동 5-0번지 지하1층 ,사랑채
서울특별시 종로구 관철동 14-3번지 ,다락방
서울특별시 종로구 돈의동 107번지 (지상1층) ,이화주막
서울특별시 종로구 관철동 19-11번지 ,칸
서울특별시 종로구 창성동 136번지 ,쁘띠 통
서울특별시 종로구 관철동 43-7번지 지상2층 ,서래통2
서울특별시 종로구 세종로 173-1번지 1~2층 ,다온
서울특별시 종로구 창신동 561-2번지 ,발리호프원
서울특별시 종로구 관철동 18-9번지 ,종로유일삼구포차
서울특별시 종로구 숭인동 313-14번지 ,계경 순대국 동묘역점
서울특별시 종로구 종로4가 59-2번지 ,테리야끼
서울특별시 종로구 당주동 168-0번지 ,백림호프주점
서울특별시 종로구 혜화동 167-3번지 ,림스치킨혜화분점
서울특별시 종로구 돈의동 51번지 ,종삼육
서울특별시 종로구 신문로1가 156-0번지 ,거성 생맥주
서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 ,종로호프
서울특별시 종로구 명륜2가 181번지 지하1층 ,봉쥬비어
서울특별시 종로구 혜화동 16-9번지 ,또봉이 통닭
서울특별시 종로구 관철동 11-18 ,오늘의회 종각점
서울특별시 종로구 사직동 304-15번지 ,사직씨엘
서울특별시 종로구 창신동 697-3번지 동원빌딩 1층 ,서기맥주 동대문점
서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 ,부티크
서울특별시 종로구 운니동 57번지 지상1층 ,매종
서울특별시 종로구 내자동 11-1번지 ,동해 남부선
서울특별시 종로구 창신동 464-6번지 2층 ,교촌치킨 24시 동대문1호점
서울특별시 종로구 종로3가 19번지 ,컴포즈 커피
서울특별시 종로구 명륜3가 148-1번지 지상1층 ,건강한빵
서울특별시 종로구 숭인동 76 롯데캐슬상가 116호,둘둘치킨(롯데캐슬숭인점)
서울특별시 종로구 창신동 561-1번지 ,자유인 치킨 호프
서울특별시 종로구 관철동 18-9번지 18-8 ,맥주 이마트
서울특별시 종로구 효제동 217-0번지 ,슈퍼비어
서울특별시 종로구 신문로2가 12-5번지 지하1층 ,쌀쌀맞은닭 정동점
서울특별시 종로구 낙원동 192번지 지상1~2층 ,시민식당
서울특별시 종로구 관철동 43-6번지 ,이자카야나무(종각점)
서울특별시 종로구 통인동 147-2번지 지하1층 ,이서방양념치킨
서울특별시 종로구 관훈동 123-4번지 ,오가다
서울특별시 종로구 재동 88번지 ,치킨하우스
서울특별시 종로구 인사동 209-0번지 ,종각역점 바른치킨
서울특별시 종로구 동숭동 1-55번지 2층 ,bhc 치킨대학로본점
서울특별시 종로구 명륜4가 46-1 ,또봉이통닭 대학로점
서울특별시 종로구 인사동 102-0번지 ,국민포차 야시장
서울특별시 종로구 종로5가 245-0번지 ,종로호프
서울특별시 종로구 창신동 534-0번지 ,창신호프
서울특별시 종로구 인사동 72-0번지 지상2층 ,삼성삼통
서울특별시 종로구 종로5가 88-4번지 2층 ,엘리팝
서울특별시 종로구 동숭동 1-27번지 1.2층 ,케이에프씨 대학로점
서울특별시 종로구 종로5가 116번지 1층 ,썬더치킨
서울특별시 종로구 종로1가 24번지 B113-5 ,우뚝1
서울특별시 종로구 효제동 330번지 1층 ,돈치킨 구운치킨
서울특별시 종로구 숭인동 766번지 종로청계힐스테이트 ,썬더치킨
서울특별시 종로구 부암동 385번지 지하1층 ,댕댕포차
서울특별시 종로구 숭인동 183-1번지 1층 ,닭한마리
서울특별시 종로구 창신동 635-8번지 ,통통배식당
서울특별시 종로구 내자동 178-2번지 ,한강치킨
서울특별시 종로구 통의동 67-3번지 2층 ,치킨인더키친 경복궁역점
서울특별시 종로구 관철동 19-20번지 3층 ,포차어게인
서울특별시 종로구 명륜2가 24-1번지 지상2층 ,도토리편백집
서울특별시 종로구 익선동 166-57번지 1층 ,크래프트루익선
서울특별시 종로구 효제동 318-1번지 지상1층 ,배부장찌개
서울특별시 종로구 효제동 308번지 ,첨
서울특별시 종로구 명륜4가 113-1 지상1층 ,교촌치킨대학로점
서울특별시 종로구 명륜1가 10-27번지 지상1층 ,영일식당
서울특별시 종로구 신문로1가 31번지 2층 ,하이로 불닭
서울특별시 종로구 명륜2가 216-2 지하1층 ,일타양피
